##### Iteration 0
## Insertion
- Andrew
Java    444
CSharp  1245
Python  9631
- Cody
Java    363
CSharp  843
Python  9295
## Bubble
- Andrew
Java    371
CSharp  2031
Python  16943
- Cody
Java    378
CSharp  2042
Python  33938
## Selection
- Andrew
Java    399
CSharp  1566
Python  3424
- Cody
Java    268
CSharp  736
Python  10386
##### Iteration 1
## Insertion
- Andrew
Java    342
CSharp  864
Python  9906
- Cody
Java    386
CSharp  1086
Python  9642
## Bubble
- Andrew
Java    336
CSharp  2044
Python  21102
- Cody
Java    219
CSharp  1965
Python  1163867
## Selection
- Andrew
Java    873
CSharp  3869
Python  6550
- Cody
Java    345
CSharp  781
Python  13179
##### Iteration 2
## Insertion
- Andrew
Java    267
CSharp  893
Python  10136
- Cody
Java    414
CSharp  840
Python  12204
## Bubble
- Andrew
Java    626
CSharp  1749
Python  15766
- Cody
Java    325
CSharp  1909
Python  29239
## Selection
- Andrew
Java    472
CSharp  1647
Python  3146
- Cody
Java    394
CSharp  784
Python  8684
##### Iteration 3
## Insertion
- Andrew
Java    411
CSharp  864
Python  8230
- Cody
Java    468
CSharp  836
Python  12894
## Bubble
- Andrew
Java    572
CSharp  1991
Python  14907
- Cody
Java    417
CSharp  1831
Python  29233
## Selection
- Andrew
Java    405
CSharp  1478
Python  3175
- Cody
Java    422
CSharp  825
Python  8886
##### Iteration 4
## Insertion
- Andrew
Java    421
CSharp  805
Python  8292
- Cody
Java    410
CSharp  842
Python  8206
## Bubble
- Andrew
Java    403
CSharp  1813
Python  14711
- Cody
Java    516
CSharp  1966
Python  29334
## Selection
- Andrew
Java    450
CSharp  1539
Python  3168
- Cody
Java    405
CSharp  763
Python  8865
