algo	prog	lang	result
Selection	Andrew	Java	566
Selection	Cody	Python	9795
Bubble	Cody	Python	34790
Bubble	Cody	CSharp	1997
Selection	Cody	Python	9501
Bubble	Andrew	CSharp	1792
Insertion	Andrew	Java	265
Bubble	Andrew	Python	15698
Selection	Andrew	CSharp	1598
Selection	Cody	Python	9756
Selection	Cody	Java	319
Insertion	Andrew	Python	8989
Insertion	Cody	Java	400
Bubble	Cody	CSharp	1847
Bubble	Andrew	CSharp	1751
Bubble	Andrew	Java	369
Insertion	Cody	CSharp	781
Insertion	Andrew	CSharp	758
Insertion	Andrew	Python	8406
Insertion	Cody	CSharp	842
Insertion	Andrew	Python	8187
Insertion	Cody	Python	8254
Insertion	Cody	CSharp	765
Insertion	Andrew	CSharp	809
Insertion	Cody	Java	323
Bubble	Andrew	Java	291
Insertion	Cody	Python	8288
Insertion	Cody	Python	7978
Bubble	Andrew	Java	334
Selection	Andrew	CSharp	1523
Selection	Cody	CSharp	708
Selection	Andrew	CSharp	1496
Bubble	Cody	CSharp	1817
Insertion	Cody	Java	324
Selection	Andrew	Java	319
Bubble	Andrew	CSharp	1914
Selection	Andrew	Java	383
Selection	Cody	CSharp	765
Insertion	Andrew	CSharp	816
Selection	Cody	CSharp	719
Bubble	Andrew	Python	14601
Bubble	Cody	Java	367
Selection	Cody	Java	321
Bubble	Cody	Python	30783
Selection	Cody	Java	305
Insertion	Andrew	Java	289
Insertion	Andrew	Java	330
Bubble	Andrew	Python	14959
Bubble	Cody	Java	326
Selection	Andrew	Python	3038
Bubble	Cody	Python	34225
Selection	Andrew	Python	3158
Selection	Andrew	Python	3080
Bubble	Cody	Java	291
